     d1,      d2,      d3,  AbsRel,   SqRel,    RMSE, RMSElog,   SILog,   log10
  6.677,   0.017,   0.038,   0.126,   2.171,   0.067,   0.984,   0.999,   1.000
 10.795,   0.046,   0.113,   0.084,   0.719,   0.134,   0.910,   0.994,   1.000
  7.692,   0.023,   0.052,   0.073,   1.495,   0.079,   0.975,   0.998,   0.999
  9.614,   0.026,   0.058,   0.143,   1.769,   0.102,   0.932,   0.997,   0.999
  6.138,   0.021,   0.048,   0.122,   2.089,   0.067,   0.985,   1.000,   1.000
  9.015,   0.033,   0.082,   0.283,   2.668,   0.111,   0.942,   0.993,   1.000
 10.145,   0.024,   0.056,   0.299,   3.334,   0.104,   0.967,   0.992,   0.995
 12.469,   0.034,   0.073,   0.615,   5.727,   0.134,   0.893,   0.986,   0.999
  5.549,   0.018,   0.042,   0.070,   1.566,   0.060,   0.993,   1.000,   1.000
  6.448,   0.025,   0.055,   0.154,   2.568,   0.078,   0.986,   0.999,   1.000
 10.839,   0.031,   0.066,   0.436,   4.628,   0.120,   0.918,   0.995,   0.999
  6.262,   0.020,   0.047,   0.062,   1.100,   0.066,   0.990,   1.000,   1.000
  7.785,   0.023,   0.053,   0.084,   1.672,   0.079,   0.974,   0.998,   0.999
  7.151,   0.020,   0.047,   0.102,   1.601,   0.077,   0.984,   0.997,   0.999
  7.149,   0.019,   0.046,   0.146,   1.864,   0.072,   0.988,   0.996,   0.998
  7.717,   0.025,   0.053,   0.179,   2.807,   0.089,   0.981,   0.998,   0.999
 16.831,   0.070,   0.142,   0.930,   5.397,   0.214,   0.727,   0.916,   0.999
  6.960,   0.021,   0.051,   0.146,   2.045,   0.076,   0.980,   0.999,   1.000
  6.211,   0.018,   0.042,   0.091,   1.887,   0.062,   0.992,   1.000,   1.000
 10.106,   0.025,   0.052,   0.380,   4.238,   0.109,   0.927,   0.989,   0.999
  5.662,   0.016,   0.037,   0.077,   1.805,   0.058,   0.992,   0.999,   0.999
  9.266,   0.027,   0.066,   0.252,   2.838,   0.100,   0.944,   0.997,   1.000
 12.398,   0.042,   0.091,   0.415,   4.037,   0.141,   0.920,   0.979,   0.999
  8.532,   0.026,   0.056,   0.228,   2.958,   0.100,   0.961,   0.982,   0.999
 12.512,   0.077,   0.159,   0.316,   1.816,   0.203,   0.636,   0.998,   1.000
  8.340,   0.020,   0.042,   0.238,   3.332,   0.090,   0.969,   0.992,   0.998
  9.764,   0.027,   0.065,   0.285,   3.135,   0.098,   0.959,   0.998,   1.000
 10.779,   0.028,   0.061,   0.355,   3.864,   0.112,   0.927,   0.991,   1.000
 10.733,   0.032,   0.075,   0.165,   1.627,   0.108,   0.982,   0.996,   0.998
 10.374,   0.030,   0.074,   0.219,   2.239,   0.111,   0.947,   0.989,   1.000
  6.567,   0.018,   0.041,   0.125,   2.271,   0.067,   0.993,   1.000,   1.000
  6.747,   0.019,   0.044,   0.096,   1.940,   0.068,   0.985,   1.000,   1.000
  9.188,   0.023,   0.059,   0.272,   2.623,   0.099,   0.937,   0.997,   0.999
 11.026,   0.039,   0.096,   0.218,   1.803,   0.127,   0.937,   0.983,   0.997
  7.128,   0.020,   0.047,   0.102,   1.912,   0.072,   0.985,   0.998,   1.000
  6.262,   0.019,   0.043,   0.052,   1.007,   0.063,   0.993,   1.000,   1.000
