     d1,      d2,      d3,  AbsRel,   SqRel,    RMSE, RMSElog,   SILog,   log10
  6.853,   0.017,   0.039,   0.145,   2.359,   0.069,   0.977,   0.999,   1.000
 10.518,   0.034,   0.078,   0.058,   0.767,   0.105,   0.967,   0.991,   1.000
  7.380,   0.019,   0.044,   0.076,   1.612,   0.075,   0.977,   0.999,   0.999
  9.932,   0.024,   0.054,   0.167,   2.097,   0.100,   0.931,   0.996,   0.999
  5.682,   0.015,   0.035,   0.092,   1.891,   0.057,   0.990,   1.000,   1.000
 11.731,   0.036,   0.093,   0.679,   4.501,   0.136,   0.918,   0.975,   0.997
 10.542,   0.023,   0.055,   0.415,   3.755,   0.107,   0.969,   0.988,   0.996
 12.348,   0.034,   0.071,   0.619,   5.840,   0.133,   0.906,   0.982,   1.000
  6.061,   0.017,   0.039,   0.091,   1.894,   0.062,   0.989,   0.999,   1.000
  6.848,   0.024,   0.052,   0.162,   2.681,   0.079,   0.984,   1.000,   1.000
 12.983,   0.038,   0.079,   0.550,   5.027,   0.140,   0.885,   0.989,   0.998
  6.232,   0.018,   0.042,   0.069,   1.125,   0.063,   0.992,   0.997,   1.000
  7.383,   0.019,   0.045,   0.084,   1.622,   0.075,   0.974,   0.998,   0.999
  7.947,   0.023,   0.054,   0.110,   1.691,   0.081,   0.981,   0.994,   1.000
  7.048,   0.017,   0.041,   0.150,   1.939,   0.071,   0.984,   0.997,   0.998
  8.677,   0.027,   0.059,   0.216,   3.117,   0.099,   0.974,   0.998,   0.999
 17.909,   0.073,   0.149,   0.990,   5.548,   0.223,   0.709,   0.914,   1.000
  6.937,   0.020,   0.049,   0.145,   1.953,   0.074,   0.974,   0.999,   1.000
  6.873,   0.020,   0.046,   0.137,   2.457,   0.072,   0.977,   1.000,   1.000
 10.195,   0.025,   0.054,   0.388,   4.332,   0.109,   0.929,   0.996,   1.000
  5.466,   0.012,   0.028,   0.085,   1.839,   0.055,   0.991,   0.998,   1.000
  9.271,   0.027,   0.063,   0.286,   3.519,   0.096,   0.948,   0.998,   1.000
 11.747,   0.029,   0.064,   0.393,   4.199,   0.122,   0.938,   0.975,   0.998
  8.900,   0.020,   0.045,   0.233,   3.074,   0.094,   0.962,   0.991,   0.998
 14.094,   0.098,   0.198,   0.469,   2.264,   0.256,   0.505,   0.980,   1.000
  8.693,   0.021,   0.046,   0.245,   3.366,   0.091,   0.970,   0.992,   0.998
 10.421,   0.028,   0.064,   0.337,   3.532,   0.104,   0.961,   0.994,   0.999
