     d1,      d2,      d3,  AbsRel,   SqRel,    RMSE, RMSElog,   SILog,   log10
  6.210,   0.018,   0.041,   0.121,   2.160,   0.063,   0.986,   1.000,   1.000
  8.323,   0.043,   0.105,   0.076,   0.777,   0.119,   0.977,   0.999,   1.000
  9.088,   0.034,   0.084,   0.174,   1.816,   0.111,   0.970,   0.993,   0.998
  9.257,   0.024,   0.051,   0.132,   1.736,   0.097,   0.930,   0.998,   1.000
  5.332,   0.025,   0.060,   0.121,   1.823,   0.071,   0.990,   1.000,   1.000
  8.927,   0.054,   0.136,   0.473,   3.421,   0.152,   0.916,   0.987,   1.000
  9.831,   0.022,   0.053,   0.304,   3.265,   0.098,   0.969,   0.992,   0.995
 11.098,   0.030,   0.065,   0.539,   5.303,   0.122,   0.911,   0.993,   1.000
  5.333,   0.020,   0.047,   0.078,   1.623,   0.063,   0.992,   0.998,   1.000
  6.191,   0.021,   0.048,   0.128,   2.224,   0.069,   0.990,   0.999,   1.000
 10.223,   0.025,   0.053,   0.361,   4.294,   0.106,   0.948,   0.996,   0.998
  6.530,   0.019,   0.043,   0.078,   1.269,   0.066,   0.992,   0.998,   1.000
  9.046,   0.034,   0.084,   0.165,   1.743,   0.109,   0.976,   0.995,   0.999
  7.279,   0.034,   0.083,   0.150,   1.758,   0.098,   0.978,   0.996,   1.000
  6.359,   0.015,   0.035,   0.136,   1.825,   0.064,   0.990,   0.997,   0.998
  7.493,   0.024,   0.055,   0.145,   2.351,   0.080,   0.994,   0.999,   0.999
 16.193,   0.073,   0.145,   1.060,   5.805,   0.228,   0.681,   0.923,   0.998
  7.265,   0.019,   0.046,   0.142,   1.928,   0.078,   0.973,   0.999,   1.000
  6.523,   0.021,   0.047,   0.118,   2.186,   0.069,   0.985,   1.000,   1.000
  9.518,   0.021,   0.045,   0.328,   3.984,   0.099,   0.941,   0.990,   0.999
  5.558,   0.012,   0.028,   0.096,   1.963,   0.056,   0.988,   0.999,   1.000
  9.762,   0.031,   0.076,   0.287,   3.058,   0.108,   0.930,   0.999,   1.000
  9.399,   0.025,   0.056,   0.244,   3.147,   0.096,   0.953,   0.993,   0.999
  9.155,   0.023,   0.051,   0.222,   2.779,   0.097,   0.965,   0.984,   0.999
 17.327,   0.059,   0.165,   0.923,   2.947,   0.213,   0.872,   0.963,   0.976
  9.593,   0.021,   0.044,   0.292,   3.678,   0.103,   0.963,   0.982,   0.995
 10.631,   0.030,   0.071,   0.335,   3.345,   0.109,   0.931,   0.999,   1.000
  7.613,   0.017,   0.038,   0.209,   3.206,   0.077,   0.973,   0.994,   0.999
  9.816,   0.029,   0.072,   0.254,   2.233,   0.109,   0.953,   0.997,   0.998
  9.208,   0.040,   0.098,   0.236,   2.259,   0.118,   0.949,   0.999,   1.000
  7.222,   0.024,   0.054,   0.133,   2.192,   0.073,   0.981,   1.000,   1.000
